Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymer0,"[(1, 'S7'), (2, 'S0'), (3, 'E3'), (4, 'E1'), (5, 'E6'), (6, 'E8'), (7, 'S9'), (8, 'S6'), (9, 'E4'), (10, 'S3'), (11, 'E2'), (12, 'E2'), (13, 'S1'), (14, 'E4'), (15, 'E8'), (16, 'E6'), (17, 'E8'), (18, 'E7')]",658,727,13079.30,437.72,1.76,3.85,17.78,0.18,728,-
polymer3,"[(1, 'S6'), (2, 'E1'), (3, 'E8'), (4, 'S9'), (5, 'E8'), (6, 'S2'), (7, 'S1'), (8, 'S8'), (9, 'E4'), (10, 'S5'), (11, 'E2'), (12, 'S4')]",830,899,12173.05,275.17,1.77,4.49,17.32,0.14,900,-
polymer4,"[(1, 'S8'), (2, 'E4'), (3, 'E9'), (4, 'E2'), (5, 'E9'), (6, 'S8'), (7, 'E9'), (8, 'S5'), (9, 'S7'), (10, 'E7'), (11, 'S1'), (12, 'S7'), (13, 'E5'), (14, 'E2'), (15, 'S3'), (16, 'E8')]",820,889,15421.66,445.83,1.83,4.08,18.26,0.13,890,-
polymer5,"[(1, 'S8'), (2, 'E6'), (3, 'S2'), (4, 'E2'), (5, 'S2'), (6, 'S0'), (7, 'S5'), (8, 'S8'), (9, 'E2'), (10, 'S6'), (11, 'S6'), (12, 'E1'), (13, 'E6'), (14, 'S8'), (15, 'S8'), (16, 'S2'), (17, 'S0'), (18, 'E9'), (19, 'S0')]",713,782,15922.52,403.40,1.55,3.39,19.52,0.13,783,-
polymer6,"[(1, 'S4'), (2, 'S1'), (3, 'S1'), (4, 'E8'), (5, 'E1'), (6, 'S6'), (7, 'S8'), (8, 'S9'), (9, 'S1'), (10, 'E9'), (11, 'S5'), (12, 'E7'), (13, 'E4'), (14, 'S6'), (15, 'S7'), (16, 'E2'), (17, 'S6'), (18, 'E6'), (19, 'S5'), (20, 'S7')]",701,770,20474.56,428.65,1.78,4.01,19.69,0.15,771,-
polymer7,"[(1, 'S3'), (2, 'E2'), (3, 'S2'), (4, 'S2'), (5, 'E6'), (6, 'E5'), (7, 'S1'), (8, 'E2'), (9, 'E0'), (10, 'S4'), (11, 'E8'), (12, 'S9'), (13, 'E9'), (14, 'E2'), (15, 'E4'), (16, 'S1'), (17, 'E8'), (18, 'E3'), (19, 'E4'), (20, 'E0')]",773,842,12447.33,370.32,1.74,3.81,16.78,0.14,843,-
polymer8,"[(1, 'E1'), (2, 'S4'), (3, 'E3'), (4, 'S5'), (5, 'S2'), (6, 'S0'), (7, 'S1'), (8, 'S4'), (9, 'S4'), (10, 'S2'), (11, 'E8'), (12, 'S6'), (13, 'E8'), (14, 'E0'), (15, 'E1')]",701,770,9768.81,246.68,1.73,4.08,16.66,0.12,771,-
polymer9,"[(1, 'E7'), (2, 'S1'), (3, 'E2'), (4, 'E6'), (5, 'E0'), (6, 'S1'), (7, 'E0'), (8, 'S2'), (9, 'S8'), (10, 'S9'), (11, 'E0'), (12, 'S4'), (13, 'E6'), (14, 'E7')]",NaN,NaN,nan,nan,nan,nan,nan,nan,779,-
polymer10,"[(1, 'S9'), (2, 'E4'), (3, 'S1'), (4, 'S8'), (5, 'E3'), (6, 'S1'), (7, 'S2'), (8, 'S0'), (9, 'E9'), (10, 'S5'), (11, 'S1'), (12, 'S6'), (13, 'E1'), (14, 'S4'), (15, 'E1'), (16, 'S8'), (17, 'E5'), (18, 'S2'), (19, 'S2')]",267,336,14222.85,257.55,1.46,3.41,18.67,0.12,-,337
polymer11,"[(1, 'S6'), (2, 'E1'), (3, 'S9'), (4, 'E9'), (5, 'E5'), (6, 'S0'), (7, 'E1'), (8, 'E9'), (9, 'E2'), (10, 'E1'), (11, 'E0'), (12, 'S3'), (13, 'S8'), (14, 'S7'), (15, 'E7')]",811,880,12202.79,383.78,1.89,4.35,18.10,0.18,881,-
