Name,Input List,RDF Peak,RG AVG,RG STD,Area AVG,Area STD
1-sm,"[(1, 'E9'), (2, 'S9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'E9'), (7, 'E9'), (8, 'S9'), (9, 'S6'), (10, 'E1'), (11, 'E1'), (12, 'E3'), (13, 'S2'), (14, 'S2'), (15, 'S1'), (16, 'S1'), (17, 'S1'), (18, 'E5'), (19, 'S1'), (20, 'S1')]",1.919,17.3603,0.0788,14397.02,1232.29
2-sm,"[(1, 'S9'), (2, 'S3'), (3, 'E4'), (4, 'S2'), (5, 'E4'), (6, 'E5'), (7, 'S8'), (8, 'E4'), (9, 'E6'), (10, 'E2'), (11, 'S6'), (12, 'S1'), (13, 'S4'), (14, 'E1'), (15, 'S3'), (16, 'S1'), (17, 'E9'), (18, 'E6'), (19, 'S4'), (20, 'S6')]",1.83,18.2123,0.1656,14303.57,1666.8
3-sm,"[(1, 'S9'), (2, 'E9'), (3, 'E9'), (4, ' E9'), (5, ' E9'), (6, ' E9'), (7, 'S9'), (8, 'S1'), (9, 'S4'), (10, 'S4'), (11, 'S4'), (12, 'S7'), (13, 'E3'), (14, 'E8'),(15, 'E2'), (16, 'E2'),(17, 'S2'), (18, 'E3'),(19, 'S1'), (20, 'S5')]",1.895,18.4372,0.1604,17783.09,632.85
4-sm,"[(1, 'S9'), (2, 'S9'), (3, 'S3'), (4, 'S7'), (5, 'E9'), (6, 'S3'), (7, 'E4'), (8, 'E3'), (9, 'E1'), (10, 'S2'), (11, 'S1'), (12, 'S1'), (13, 'S1'), (14, 'S6'), (15, 'S4'), (16, 'S3'), (17, 'E3'), (18, 'E2'), (19, 'E1'), (20, 'E2')]",1.753,18.3199,0.1804,15219.96,569.7
5-sm,"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'S5'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'S5'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'E4'), (17, 'E4'), (18, 'E4'), (19, 'E4'), (20, 'E4')]",1.768,17.567,0.1198,15999.02,535.59
6-sm,"[(1, 'E9'), (2, 'S9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'E9'), (7, 'E9'), (8, 'E9'), (9, 'E9'), (10, 'E9'), (11, 'S7'), (12, 'E3'), (13, 'E4'), (14, 'S3'), (15, 'E6'), (16, 'S9'), (17, 'S1'), (18, 'S3'), (19, 'E3'), (20, 'S1')]",1.857,19.9225,0.1554,18106.2,646.6
7-sm,"[(1, 'S9'), (2, 'E9'), (3, 'E9'), (4, 'S9'), (5, 'E9'), (6, 'S8'), (7, 'S5'), (8, 'E1'), (9, 'S5'), (10, 'E1'), (11, 'E1'), (12, 'E5'), (13, 'E1'), (14, 'E1'), (15, 'S5'), (16, 'E1'), (17, 'S5'), (18, 'E1'), (19, 'E1'), (20, 'E5')]",1.798,18.6367,0.2205,16706.49,524.41
8-sm,"[(1, 'E9'), (2, 'E4'), (3, 'E8'), (4, 'E8'), (5, 'E3'), (6, 'E1'), (7, 'E6'), (8, 'E6'), (9, 'E2'), (10, 'E7'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S3'), (20, 'S1')]",1.862,18.9085,0.1871,13994.81,571.84
9-sm,"[(1, 'E5'), (2, 'E3'), (3, 'E2'), (4, 'E3'), (5, 'E5'), (6, 'E6'), (7, 'E8'), (8, 'E6'), (9, 'E1'), (10, 'E8'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S2')]",1.841,18.7161,0.1457,14106.31,362.1
10-sm,"[(1, 'E3'), (2, 'E7'), (3, 'E9'), (4, 'E5'), (5, 'E8'), (6, 'E8'), (7, 'E4'), (8, 'E8'), (9, 'E2'), (10, 'E6'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S1')]",1.888,18.8263,0.233,15332.12,429.88
11-sm,"[(1, 'E6'), (2, 'E7'), (3, 'E6'), (4, 'E5'), (5, 'E9'), (6, 'E4'), (7, 'E1'), (8, 'E6'), (9, 'E9'), (10, 'E3'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",not run,not run,not run,not run,not run
12-sm,"[(1, 'E7'), (2, 'E2'), (3, 'E6'), (4, 'E4'), (5, 'E2'), (6, 'E9'), (7, 'E8'), (8, 'E3'), (9, 'E1'), (10, 'E5'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.919,18.9626,0.1848,14239.15,384.68
9EEEESSSS,"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'S5'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'S5'), (11, 'E4'), (12, 'E4'), (13, 'E4'), (14, 'E4'), (15, 'E4'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.8,18.245,0.142,17507.79,324.93
9EESS,"[(1, 'E4'), (2, 'E4'), (3, 'S5'), (4, 'S5'), (5, 'E4'), (6, 'E4'), (7, 'S5'), (8, 'S5'), (9, 'E4'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'E4'), (14, 'E4'), (15, 'S5'), (16, 'S5'), (17, 'E4'), (18, 'E4'), (19, 'S5'), (20, 'S5')]",1.73,19.729,0.156,20171.97,308.55
10-0,"[(1, 'E10'), (2, 'E10'), (3, 'E10'), (4, 'E10'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.127,20.146,0.222,13644.8,429.53
20-0,"[(1, 'E20'), (2, 'E20'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.392,21.876,0.23,12832.91,688.65
30-10,"[(1, 'E30'), (2, 'E10'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.42,22.552,0.284,13669.69,1026.7
40_0,"[(1, 'E40'), (2, 'E0'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.539,23.019,0.46,13120.02,953
